word	total	char_fix	char_issue	ne_score	ne_label
Griffenfeldt	1			1.00	namedEntity
Gyldenlund	1			1.00	namedEntity
Gyldenløve	1			1.00	namedEntity
Hafn	1			1.00	namedEntity
Hannibal	1			1.00	namedEntity
Hegermann-Lindencrone	1			1.00	namedEntity
Herculanum	1			1.00	namedEntity
Hiawatha	1			1.00	namedEntity
Hjøring	1			1.00	namedEntity
Hosemann	1			1.00	namedEntity
Hvitfeldts	1			1.00	namedEntity
Høedts	1			1.00	namedEntity
Ib	1			1.00	namedEntity
Ibsen	1			1.00	namedEntity
Joel	1			1.00	namedEntity
Jørgensen	1			1.00	namedEntity
Kingos	1			1.00	namedEntity
Kjøgebugt	1			1.00	namedEntity
Koppel	1			1.00	namedEntity
Landskrona	1			1.00	namedEntity
Lapland	1			1.00	namedEntity
Lenau	1			1.00	namedEntity
Lenaus	1			1.00	namedEntity
Leonard	1			1.00	namedEntity
Liimfjorden	1			1.00	namedEntity
Lokes	1			1.00	namedEntity
Lotte-Lenes	1			1.00	namedEntity
Lovise	1			1.00	namedEntity
Lusiadens	1			1.00	namedEntity
Løkken	1			1.00	namedEntity
Magdalenekirken	1			1.00	namedEntity
Malmø	1			1.00	namedEntity
Maren	1			1.00	namedEntity
Marthes	1			1.00	namedEntity
Mathilde	1			1.00	namedEntity
Militair-Skolen	1			1.00	namedEntity
Montgolfiers	1			1.00	namedEntity
Mortens	1			1.00	namedEntity
Munch	1			1.00	namedEntity
Musæus	1			1.00	namedEntity
Neckarfloden	1			1.00	namedEntity
Neuenkirch	1			1.00	namedEntity
Newton	1			1.00	namedEntity
Odyssee	1			1.00	namedEntity
Ottesund	1			1.00	namedEntity
Palnatoke	1			1.00	namedEntity
Peiter	1			1.00	namedEntity
Pocci	1			1.00	namedEntity
Politivennen	1			1.00	namedEntity
Præstø	1			1.00	namedEntity
Randers	1			1.00	namedEntity
Ringkjøbingfjord	1			1.00	namedEntity
Rosenvængets	1			1.00	namedEntity
Rostock	1			1.00	namedEntity
Rousseau	1			1.00	namedEntity
Rungsteds	1			1.00	namedEntity
Salling	1			1.00	namedEntity
Samsø	1			1.00	namedEntity
Schierbeck	1			1.00	namedEntity
Serre	1			1.00	namedEntity
Simplon	1			1.00	namedEntity
Skjelskør	1			1.00	namedEntity
Skovgaard	1			1.00	namedEntity
Snio	1			1.00	namedEntity
Solon	1			1.00	namedEntity
Sophies	1			1.00	namedEntity
Stigaard	1			1.00	namedEntity
Svanwedel	1			1.00	namedEntity
Tannhäuser	1	Tannhæuser	danish_variant_oe	1.00	namedEntity
Thorkildsens	1			1.00	namedEntity
Thyland	1			1.00	namedEntity
Trekroner	1			1.00	namedEntity
Vartou	1			1.00	namedEntity
Veile	1			1.00	namedEntity
Vendilskaga	1			1.00	namedEntity
Vendsyssel	1			1.00	namedEntity
Vestervovvov	1			1.00	namedEntity
Vestindien	1			1.00	namedEntity
Vordingborg	1			1.00	namedEntity
Vænø	1			1.00	namedEntity
WILLIAM	1			1.00	namedEntity
Waldemar	1			1.00	namedEntity
Würtemberg	1	Wyrtemberg	danish_variant_oe	1.00	namedEntity
ÆGYPTENS	1			1.00	namedEntity
Æsop	1			1.00	namedEntity
Østerby	1			1.00	namedEntity
Aldersby	2			0.8	namedEntity
Badested	2			0.10	noun
Beskov	2			0.8	namedEntity
Bredal	2			0.8	namedEntity
Deutschland	2			0.8	namedEntity
Engeland	2			0.8	namedEntity
Faaborg	2			0.8	namedEntity
Fiskerby	2			0.10	noun
Forgaard	2			0.10	noun
Fredstrup	2			0.8	namedEntity
Friisland	2			0.8	namedEntity
Fædreborg	2			0.8	namedEntity
Fædreneland	2			0.8	namedEntity
Fødeland	2			0.10	noun
Fødeø	2			0.10	noun
Hedeland	2			0.10	noun
Hunderup	2			0.8	namedEntity
Idsted	2			0.8	namedEntity
Irland	2			0.8	namedEntity
Klippe-Ø	2			0.8	namedEntity
Klostergaard	2			0.10	noun
Kløvermark	2			0.8	namedEntity
Knippelsbro	2			0.8	namedEntity
Kobberskov	2			0.8	namedEntity
Kornland	2			0.8	namedEntity
Legested	2			0.8	namedEntity
Mandsperson	2			0.10	noun
Moseland	2			0.8	namedEntity
Nordsø	2			0.8	namedEntity
Opholdssted	2			0.10	noun
Oversø	2			0.8	namedEntity
Postgaard	2			0.10	noun
Rettersted	2			0.10	noun
Saison	2			0.8	namedEntity
Siesby	2			0.8	namedEntity
Slangerup	2			0.8	namedEntity
Slave-Frø	2			0.8	namedEntity
Sommerlyststed	2			0.8	namedEntity
Steenbro	2			0.10	noun
Tilflugtssted	2			0.10	noun
Tolderlund	2			0.8	namedEntity
Trylleland	2			0.8	namedEntity
Universitetsstad	2			0.7	namedEntity
Urskov	2			0.10	noun
Valborg	2			0.8	namedEntity
Vidal	2			0.8	namedEntity
Viingaard	2			0.10	noun
Voldsted	2			0.10	noun
Willison	2			0.8	namedEntity
Ørkenland	2			0.8	namedEntity
Østersø	2			0.8	namedEntity
Aftenland	1			0.8	namedEntity
Alfeland	1			0.8	namedEntity
Alpeland	1			0.10	noun
Antvorskov	1			0.8	namedEntity
Augsborg	1			0.8	namedEntity
Barnaby	1			0.8	namedEntity
Bayerland	1			0.8	namedEntity
Bestemmelsessted	1			0.10	noun
Birkelund	1			0.8	namedEntity
Bispegaard	1			0.10	noun
Bjelkebro	1			0.8	namedEntity
Bjælkebro	1			0.8	namedEntity
Bjørnstjerne-Bjørnson	1			0.8	namedEntity
Bondegaard	1			0.10	noun
Bondensgaard	1			0.8	namedEntity
Braadsø	1			0.8	namedEntity
Bulgarer-Land	1			0.8	namedEntity
Bögeskov	1	Bøgeskov	danish_variant_oe	0.10	noun
Böhmerland	1	Bøhmerland	danish_variant_oe	0.8	namedEntity
Bøge-Skov	1			0.8	namedEntity
Bøgelund	1			0.8	namedEntity
Bønnemark	1			0.8	namedEntity
Charlottenlund	1			0.8	namedEntity
Christianborg	1			0.8	namedEntity
Cypres-Skov	1			0.8	namedEntity
Dardanel-By	1			0.8	namedEntity
Donau-Bro	1			0.8	namedEntity
Drømme-Land	1			0.8	namedEntity
Drømmeland	1			0.10	noun
Dynedal	1			0.8	namedEntity
Engelsborg	1			0.8	namedEntity
Eventyr-Land	1			0.8	namedEntity
Evigheds-Land	1			0.8	namedEntity
Fetisland	1			0.8	namedEntity
Flamme-Ø	1			0.8	namedEntity
Forlystelses-Sted	1			0.8	namedEntity
Fredensborg	1			0.8	namedEntity
Frederiksstad	1			0.7	namedEntity
Frydelund	1			0.8	namedEntity
Frøken-Mø	1			0.8	namedEntity
Fyensland	1			0.8	namedEntity
Fyrreskov	1			0.10	noun
Færgegaard	1			0.8	namedEntity
Færgested	1			0.10	noun
Födested	1	Fødested	danish_variant_oe	0.10	noun
Fødestad	1			0.7	namedEntity
Gammelholm	1			0.8	namedEntity
Genfersø	1			0.8	namedEntity
Gran-Skov	1			0.8	namedEntity
Grændseby	1			0.10	noun
Grønlund	1			0.8	namedEntity
Guirland	1			0.8	namedEntity
Guld-Land	1			0.8	namedEntity
Guldberg	1			0.8	namedEntity
Guldskov	1			0.8	namedEntity
Haligoland	1			0.8	namedEntity
Handskemagerværksted	1			0.8	namedEntity
Heidelberg	1			0.8	namedEntity
Heimdal	1			0.8	namedEntity
Helgoland	1			0.8	namedEntity
Hellufgaard	1			0.8	namedEntity
Helsingborg	1			0.8	namedEntity
Henkasted	1			0.8	namedEntity
Herlufsholm	1			0.8	namedEntity
Hjemland	1			0.10	noun
Hjemsted	1			0.10	noun
Hohlenberg	1			0.8	namedEntity
Hostrup	1			0.8	namedEntity
Hunderup-Skov	1			0.8	namedEntity
Hverdags-Land	1			0.8	namedEntity
Høegh-Guldberg	1			0.8	namedEntity
Høibro	1			0.10	noun
Høiland	1			0.10	noun
Hønsegaard	1			0.10	noun
Hørfrø	1			0.10	noun
Inn-Dal	1			0.8	namedEntity
Jonstrup	1			0.8	namedEntity
Kaalund	1			0.8	namedEntity
Kielerfjord	1			0.8	namedEntity
Kiøbenhavn	1			0.8	namedEntity
Kjöbstad	1	Kjøbstad	danish_variant_oe	0.10	noun
Klippeø	1			0.10	noun
Klosterby	1			0.8	namedEntity
Klosterkirkegaard	1			0.8	namedEntity
Kløver-Mark	1			0.8	namedEntity
Koral-Ø	1			0.8	namedEntity
Korkskov	1			0.8	namedEntity
Kystland	1			0.10	noun
Lichtenberg	1			0.8	namedEntity
Læreby	1			0.8	namedEntity
Løvskov	1			0.10	noun
Marmor-Sø	1			0.8	namedEntity
Mathison	1			0.8	namedEntity
Mindal	1			0.8	namedEntity
Morbro	1			0.8	namedEntity
Morgenland	1			0.8	namedEntity
Morland	1			0.8	namedEntity
Myntegaard	1			0.8	namedEntity
Münchberg	1		foreign_char	0.8	namedEntity
Naboland	1			0.10	noun
Neergaard	1			0.8	namedEntity
Newfoundland	1			0.8	namedEntity
Nord-Sjælland	1			0.8	namedEntity
Nord-Tydskland	1			0.8	namedEntity
Nyerup	1			0.8	namedEntity
Nyholm	1			0.8	namedEntity
Næsbyhovedskov	1			0.8	namedEntity
Nøragergaard	1			0.8	namedEntity
Opholdsted	1			0.8	namedEntity
Orangelund	1			0.8	namedEntity
Overgangsbro	1			0.8	namedEntity
Padehatte-Frø	1			0.8	namedEntity
Palmeskov	1			0.8	namedEntity
Pluskov	1			0.8	namedEntity
Provinds-By	1			0.8	namedEntity
Provindsby	1			0.8	namedEntity
Puggaard	1			0.8	namedEntity
Qværndrup	1			0.8	namedEntity
Randal	1			0.8	namedEntity
Rendsborg	1			0.8	namedEntity
Riberbro	1			0.8	namedEntity
Ringsted	1			0.8	namedEntity
Roeskilde-By	1			0.8	namedEntity
Rosenlund	1			0.8	namedEntity
Schwartzenberg	1			0.8	namedEntity
Sengested	1			0.10	noun
Sigersted	1			0.8	namedEntity
Skjoldmø	1			0.10	noun
Skovsø	1			0.10	noun
Sneemark	1			0.10	noun
Solland	1			0.8	namedEntity
Solskinsland	1			0.8	namedEntity
Sommeropholdssted	1			0.8	namedEntity
Sovested	1			0.8	namedEntity
Sternberg	1			0.8	namedEntity
Stolberg	1			0.8	namedEntity
Stougaard	1			0.8	namedEntity
Sumpland	1			0.8	namedEntity
Sumpstad	1			0.7	namedEntity
Swedenborg	1			0.8	namedEntity
Sydlands-Ø	1			0.8	namedEntity
Søndre-Skov	1			0.8	namedEntity
Tebro	1			0.8	namedEntity
Tennyson	1			0.8	namedEntity
Thurø	1			0.8	namedEntity
Tilholdssted	1			0.10	noun
Trup	1			0.10	noun
Trygveson	1			0.8	namedEntity
Tyskland	1			0.8	namedEntity
Uggason	1			0.8	namedEntity
Uhrmagerværksted	1			0.8	namedEntity
Ulvborg	1			0.8	namedEntity
Vadested	1			0.10	noun
Verdens-Gaard	1			0.8	namedEntity
Verdens-Sø	1			0.8	namedEntity
Verdensland	1			0.8	namedEntity
Verdensstad	1			0.7	namedEntity
Vesterbro	1			0.8	namedEntity
Vesterjylland	1			0.8	namedEntity
Viinmark	1			0.10	noun
Viinskov	1			0.8	namedEntity
Villenskov	1			0.8	namedEntity
Vindelbro	1			0.8	namedEntity
Ægteskabs-Sø	1			0.8	namedEntity
Øland	1			0.8	namedEntity
Østerberg	1			0.8	namedEntity
Øvrighedsperson	1			0.10	noun
O	491			0.10	noun
MONICA	172			0.85	namedEntity
OXENSTJERNE	152			0.85	namedEntity
CHOR	129			0.85	namedEntity
CRONBERG	119			0.85	namedEntity
HERMANIA	118			0.85	namedEntity
MATHIAS	114			0.85	namedEntity
CRESCENZ	112			0.85	namedEntity
VALENTIN	109			0.85	namedEntity
GRAAH	102			0.85	namedEntity
RUMMEL	99			0.85	namedEntity
BLOMME	97			0.85	namedEntity
FRANK	97			0.85	namedEntity
GRAND	96			0.85	namedEntity
LE	96			0.85	namedEntity
DALBY	95			0.85	namedEntity
ASHTON	94			0.85	namedEntity
EMMA	81			0.85	namedEntity
EDGAR	79			0.85	namedEntity
AGNETE	72			0.85	namedEntity
THEODOR	72			0.85	namedEntity
LUCIE	64			0.85	namedEntity
RENZO	63			0.85	namedEntity
ABONDIO	59			0.85	namedEntity
LUCIA	58			0.85	namedEntity
FRANZL	57			0.85	namedEntity
DEN	56			0.85	namedEntity
HAGENAU	54			0.85	namedEntity
BUCKLAW	48			0.85	namedEntity
CALEB	48			0.85	namedEntity
HEMMING	47			0.85	namedEntity
C	46			0.10	noun
EN	46			0.85	namedEntity
ETATSRAADINDEN	43			0.85	namedEntity
TONIO	43			0.85	namedEntity
Ø	43			0.10	noun
H	42			0.10	noun
FORRIGE	41			0.85	namedEntity
JESPERSEN	39			0.85	namedEntity
WENDEL	39			0.85	namedEntity
LADY	37			0.85	namedEntity
AGNESE	36			0.85	namedEntity
RODERIGO	35			0.85	namedEntity
AF	34			0.85	namedEntity
ALLE	33			0.85	namedEntity
II	33			0.85	namedEntity
CRAIGENGELT	31			0.85	namedEntity
FRUEN	31			0.85	namedEntity
GERDRUD	31			0.85	namedEntity
ANNIE	30			0.85	namedEntity
HAVMANDEN	30			0.85	namedEntity
PERPETUA	30			0.85	namedEntity
AILSIE	29			0.85	namedEntity
KEDELFLIKKEREN	29			0.85	namedEntity
III	28			0.85	namedEntity
