word	char_issue
afluge	v.
aflukke	v.
Aflukke	sb.
aflure	v.
afluse	v.
Aflyd	sb.
aflyse	v.
aflyske	v.
aflytte	v.
aflægge	v.
Aflæggeapparat	sb.
Aflæggelse	sb.
Aflæggemaskine	sb.
Aflægger	sb.
Aflæggerapparat	sb.
Aflæggerbord	sb.
Aflæggerrive	sb.
Aflæggervinge	sb.
Aflæggespaan	sb.
Aflægning	sb.
aflægs	adj.
aflænke	v.
aflære	v.
aflæse	v.
Aflæsning	sb.
Aflæsningsfejl	sb.
Aflæsningssag	sb.
aflæsse	v.
Afløb	sb.
afløbe	v.
Afløberkniv	sb.
Afløbnings-	i ssgr.
Afløbningspude	sb.
Afløbningsslæde	sb.
Afløbs-	i ssgr.
Afløbsgrøft	sb.
Afløbshul	sb.
Afløbskanal	sb.
Afløbspæl	sb.
Afløbsrende	sb.
Afløbsrør	sb.
afløfte	v.
aflønne	v.
afløse	v.
afløselig	adj.
Afløser	sb.
afløsne	v.
Afløsning	sb.
Afløsning	sb.
Afløsningsassistent	sb.
Afløsningsflade	sb.
Afløsningsmandskab	sb.
Afløsningssum	sb.
afløve	v.
aflaase	v.
afmagnetisere	v.
afmagre	v.
Afmagringskur	sb.
Afmagt	sb.
Afmagtsfølelse	sb.
afmale	v.
afmalke	v.
afmande	v.
Afmarch	sb.
afmarchere	v.
afmarve	v.
afmaske	v.
afmaske	v.
afmaste	v.
afmatte	v.
afmeje	v.
afmejsle	v.
afmelde	v.
afmægtig	adj.
Afmægtighed	sb.
afmærke	v.
afmønstre	v.
afmaale	v.
Afmaaling	sb.
Afmaalthed	sb.
afnakke	v.
afnappe	v.
afneje	v.
afnippe	v.
afnytte	v.
afnøde	v.
afordne	v.
Aforisme	sb.
aforistisk	adj.
afpakke	v.
afparere	v.
afparre	v.
afpasse	v.
Afpasseri	sb.
afpatronere	v.
afpatrouillere	v.
afpenne	v.
afpensle	v.
afperse	v.
afpille	v.
afpinde	v.
afpine	v.
afpiske	v.
afplanke	v.
Afplatning	sb.
afplatte	v.
Afpluk	sb.
afplukke	v.
afplyndre	v.
afpløje	v.
afpolere	v.
afprelle	v.
afpresse	v.
afprikke	v.
afprodse	v.
Afpropning	sb.
afproppe	v.
afprutte	v.
afprygle	v.
afprædike	v.
Afpræg	sb.
afpræge	v.
afprøve	v.
afpudse	v.
Afpudsning	sb.
afpuppe	v.
afpuste	v.
afpæle	v.
Afpæling	sb.
afrage	v.
afrakke	v.
afrande	v.
afraspe	v.
afrebe	v.
afrede	v.
afregne	v.
Afregning	sb.
Afregningsbog	sb.
afrejfe	v.
afrejse	v.
Afrejse	sb.
afrense	v.
afrette	v.
Afretter	sb.
